Age;Gender;MaritalStatus;ChildrenNumber;HasChildren;CountryCitizen;CountryLive;IsEthnicMinority;LanguageAtHome;EmploymentField;Income;IsUnderEmployed;SchoolDegree;SchoolMajor;HoursLearning;MoneyForLearning;MonthsProgramming
36;male;married or domestic partnership;1;1;Brazil;Brazil;0;Portuguese;construction and extraction;60000;0;bachelor's degree;Computer Science;10;350;15
51;female;NA;NA;NA;United States of America;United States of America;0;English;Fashion - IT;125000;0;bachelor's degree;Liberal Arts;10;0;4
22;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;15;0;10
30;male;NA;NA;NA;United Kingdom;United Kingdom;1;Bengali;arts- entertainment- sports- or media;40000;0;bachelor's degree;Web Design;6;200;3
33;male;married or domestic partnership;1;1;Colombia;Colombia;0;Spanish;software development;6000;0;bachelor's degree;Computer Science;5;20;3
32;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;30;4000;16
30;male;single- never married;1;1;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;20;1600;16
26;male;single- never married;NA;0;Israel;Israel;0;Russian;software development;36000;1;master's degree (non-professional);Computer Science;30;400;36
31;female;NA;NA;NA;United States of America;United States of America;1;Yue (Cantonese) Chinese;office and administrative support;50000;1;some college credit- no degree;NA;5;250;4
36;female;married or domestic partnership;2;1;United States of America;Japan;1;English;NA;NA;NA;bachelor's degree;Communications;20;500;12
31;male;NA;NA;NA;United States of America;United States of America;0;English;sales;13000;1;associate's degree;Web Design;4;100;4
23;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;food and beverage;20000;1;bachelor's degree;Physics;20;0;1
25;male;NA;NA;NA;Mexico;Mexico;0;Spanish;NA;NA;NA;professional degree (MBA- MD- JD- etc.);Computer Science;40;2500;6
27;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;education;47000;1;bachelor's degree;Elementary Education;6;0;1
36;male;married or domestic partnership;2;1;Costa Rica;Costa Rica;0;Spanish;software development;16500;0;some college credit- no degree;NA;3;0;NA
26;male;NA;NA;NA;United States of America;United States of America;0;English;Information Technology;29000;0;associate's degree;Computer Networking;15;300;16
28;male;single- never married;NA;0;Peru;Peru;0;Spanish;software development;20000;1;bachelor's degree;Information Technology;8;0;1
39;female;divorced;1;1;United States of America;United States of America;0;English;office and administrative support;40000;0;high school diploma or equivalent (GED);NA;NA;800;1
17;male;NA;NA;NA;Australia;Australia;0;English;NA;NA;NA;high school diploma or equivalent (GED);NA;10;35;36
17;male;NA;NA;NA;Colombia;Colombia;0;Spanish;NA;NA;NA;some college credit- no degree;NA;24;0;1
26;male;NA;NA;NA;United States of America;United States of America;0;English;Customer Support;13500;0;some college credit- no degree;NA;10;300;6
39;female;married or domestic partnership;2;1;United States of America;Japan;1;English;arts- entertainment- sports- or media;20000;0;bachelor's degree;Liberal Arts;3;0;1
36;male;single- never married;1;1;United States of America;United States of America;0;English;Help Desk;15000;1;bachelor's degree;Software Engineering;10;0;15
30;male;NA;NA;NA;Guyana;Canada;1;English;software development;25000;0;trade- technical- or vocational training;NA;4;5000;42
53;female;married or domestic partnership;1;1;United States of America;United States of America;1;English;NA;NA;NA;master's degree (non-professional);Business Administration;5;600;8
32;male;NA;NA;NA;United Kingdom;United States of America;0;English;education;50000;0;bachelor's degree;Operations Management;4;400;3
35;male;married or domestic partnership;1;1;United States of America;United States of America;0;English;IT;28000;1;trade- technical- or vocational training;NA;15;100;12
31;male;NA;NA;NA;United States of America;Hong Kong;1;English;transportation;105000;0;bachelor's degree;Communications;15;200;40
20;male;NA;NA;NA;United States of America;United States of America;0;English;office and administrative support;10000;0;some college credit- no degree;NA;8;0;1
28;male;NA;NA;NA;United States of America;United States of America;0;English;Tech support and implementation;NA;1;bachelor's degree;Psychology;5;0;24
